id,time
30,10
229,3
312,2
172,4
5,16
267,4
283,12
358,1
266,1
82,6
229,4
171,12
237,16
165,4
358,4
68,2
186,4
253,4
292,2
180,2
306,2
100,2
134,6
78,2
367,10
267,1
310,12
227,6
351,6
357,4
141,2
36,18
176,6
165,2
3,2
254,4
266,2
82,10
265,18
274,14
133,4
186,4
267,4
272,2
325,6
214,8
358,11
357,2
278,10
254,4
106,4
134,2
131,1
28,14
126,6
201,4
56,32
272,4
176,4
129,14
267,1
74,2
131,4
301,6
38,2
227,6
133,2
5,8
292,2
267,2
3,2
208,1
214,17
136,8
134,2
186,1
272,12
38,4
126,9
74,1
244,8
357,1
292,2
237,38
358,2
134,1
301,1
115,8
141,6
278,12
229,6
119,4
302,8
201,10
253,2
91,10
176,14
301,2
267,2
171,1
265,30
28,1
134,4
59,2
78,4
154,2
367,2
171,26
312,2
165,12
283,10
325,10
244,14
172,6
292,2
267,2
254,4
136,8
180,4
355,4
193,2
126,6
378,2
134,2
154,6
301,1
312,2
214,8
115,2
302,12
313,6
193,2
78,1
23,8
301,2
180,10
227,2
254,2
134,1
266,2
163,4
78,8
201,32
367,2
62,12
272,2
36,2
150,6
38,8
68,20
44,20
341,6
229,4
165,1
136,10
59,2
176,2
208,2
311,2
313,2
244,8
172,10
175,1
126,8
45,6
186,1
134,2
175,6
91,6
278,50
283,4
325,6
186,4
272,6
165,6
292,4
310,4
3,2
163,2
367,1
141,2
62,12
36,2
180,1
171,23
325,15
182,2
106,4
134,4
186,8
367,12
267,4
176,10
312,2
214,2
129,2
313,2
322,4
36,18
265,20
150,2
283,2
74,14
172,2
229,2
312,2
214,2
106,8
313,2
292,6
45,6
237,2
150,8
283,6
180,4
68,8
339,6
272,2
9,6
210,6
313,2
56,2
92,1
365,2
131,10
62,14
272,4
310,2
254,2
208,2
191,2
378,2
367,4
45,2
229,2
237,1
283,12
365,2
136,6
5,10
310,2
335,6
172,6
292,4
150,1
180,2
227,4
59,20
339,2
78,8
301,6
150,2
9,8
129,2
68,2
74,12
367,10
45,2
165,2
244,2
186,2
23,8
292,8
141,2
176,2
159,10
163,2
201,4
154,6
272,2
214,14
3,8
283,6
136,8
193,12
365,2
339,6
322,4
141,4
133,12
186,2
292,8
82,6
165,2
100,2
23,2
341,6
301,4
355,2
163,2
176,2
180,5
196,3
339,2
186,2
154,8
240,2
165,4
325,10
274,8
244,1
163,8
59,10
301,2
312,2
250,4
74,11
159,1
244,2
23,6
265,6
180,6
182,2
133,12
176,2
312,8
355,4
339,6
186,18
165,18
310,16
141,2
59,4
176,6
301,2
341,2
355,2
141,2
59,14
45,10
325,6
163,2
id,time
